vnu_id,subject_code,score,semester_id
22021001,INT2211,7,20231
22021002,INT2211,8,20231
22021003,INT2211,5,20231
22021004,INT2211,9,20231
22021005,INT2211,6,20231
22021006,INT2211,3,20231
22021007,INT2211,7,20231
22021008,INT2211,8,20231
22021009,INT2211,4,20231
22021010,INT2211,9,20231
22021011,INT2211,2,20231
22021012,INT2211,7,20231
22021013,INT2211,6,20231
22021014,INT2211,10,20231
22021015,INT2211,5,20231
22021016,INT2211,8,20232
22021017,INT2211,6,20232
22021018,INT2211,9,20232
22021019,INT2211,3,20232
22021020,INT2211,7,20232
22021021,INT2211,5,20232
22021022,INT2211,8,20232
22021023,INT2211,10,20232
22021024,INT2211,4,20232
22021025,INT2211,6,20232
22021026,INT2211,9,20232
22021027,INT2211,7,20232
22021028,INT2211,5,20232
22021029,INT2211,8,20232
22021030,INT2211,3,20232
