vnu_id,subject_code,score,semester_id
22021001,MAT2302,6,20241
22021002,MAT2302,8,20241
22021003,MAT2302,4,20241
22021004,MAT2302,7,20241
22021005,MAT2302,9,20241
22021006,MAT2302,5,20241
22021007,MAT2302,6,20241
22021008,MAT2302,8,20241
22021009,MAT2302,2,20241
22021010,MAT2302,7,20241
22021011,MAT2302,3,20241
22021012,MAT2302,9,20241
22021013,MAT2302,7,20241
22021014,MAT2302,6,20241
22021015,MAT2302,5,20241
22021016,MAT2302,8,20242
22021017,MAT2302,7,20242
22021018,MAT2302,5,20242
22021019,MAT2302,9,20242
22021020,MAT2302,6,20242
22021021,MAT2302,4,20242
22021022,MAT2302,10,20242
22021023,MAT2302,7,20242
22021024,MAT2302,3,20242
22021025,MAT2302,8,20242
22021026,MAT2302,6,20242
22021027,MAT2302,5,20242
22021028,MAT2302,9,20242
22021029,MAT2302,7,20242
22021030,MAT2302,4,20242
